,CarName,doornumber,horsepower,peakrpm,citympg,highwaympg,price,fueltype_diesel,fueltype_gas,carbody_convertible,carbody_hardtop,carbody_hatchback,carbody_sedan,carbody_wagon,drivewheel_4wd,drivewheel_fwd,drivewheel_rwd
0,alfa-romero giulia,2,111,5000,21,27,13495.0,0,1,1,0,0,0,0,0,0,1
1,alfa-romero stelvio,2,111,5000,21,27,16500.0,0,1,1,0,0,0,0,0,0,1
2,alfa-romero Quadrifoglio,2,154,5000,19,26,16500.0,0,1,0,0,1,0,0,0,0,1
3,audi 100 ls,4,102,5500,24,30,13950.0,0,1,0,0,0,1,0,0,1,0
4,audi 100ls,4,115,5500,18,22,17450.0,0,1,0,0,0,1,0,1,0,0
5,audi fox,2,110,5500,19,25,15250.0,0,1,0,0,0,1,0,0,1,0
6,audi 100ls,4,110,5500,19,25,17710.0,0,1,0,0,0,1,0,0,1,0
7,audi 5000,4,110,5500,19,25,18920.0,0,1,0,0,0,0,1,0,1,0
8,audi 4000,4,140,5500,17,20,23875.0,0,1,0,0,0,1,0,0,1,0
9,audi 5000s (diesel),2,160,5500,16,22,17859.167,0,1,0,0,1,0,0,1,0,0
10,bmw 320i,2,101,5800,23,29,16430.0,0,1,0,0,0,1,0,0,0,1
11,bmw 320i,4,101,5800,23,29,16925.0,0,1,0,0,0,1,0,0,0,1
12,bmw x1,2,121,4250,21,28,20970.0,0,1,0,0,0,1,0,0,0,1
13,bmw x3,4,121,4250,21,28,21105.0,0,1,0,0,0,1,0,0,0,1
14,bmw z4,4,121,4250,20,25,24565.0,0,1,0,0,0,1,0,0,0,1
15,bmw x4,4,182,5400,16,22,30760.0,0,1,0,0,0,1,0,0,0,1
16,bmw x5,2,182,5400,16,22,41315.0,0,1,0,0,0,1,0,0,0,1
17,bmw x3,4,182,5400,15,20,36880.0,0,1,0,0,0,1,0,0,0,1
18,chevrolet impala,2,48,5100,47,53,5151.0,0,1,0,0,1,0,0,0,1,0
19,chevrolet monte carlo,2,70,5400,38,43,6295.0,0,1,0,0,1,0,0,0,1,0
20,chevrolet vega 2300,4,70,5400,38,43,6575.0,0,1,0,0,0,1,0,0,1,0
21,dodge rampage,2,68,5500,37,41,5572.0,0,1,0,0,1,0,0,0,1,0
22,dodge challenger se,2,68,5500,31,38,6377.0,0,1,0,0,1,0,0,0,1,0
23,dodge d200,2,102,5500,24,30,7957.0,0,1,0,0,1,0,0,0,1,0
