,Name,Model,Battery capacity (mAh),Screen size (inches),Resolution x,Resolution y,Processor,Internal storage (GB),Rear camera,Front camera,Price,RAM (GB),Brand_10.or,Brand_Acer,Brand_Alcatel,Brand_Apple,Brand_Aqua,Brand_Asus,Brand_Billion,Brand_Black Shark,Brand_BlackBerry,Brand_Blu,Brand_Cat,Brand_Celkon,Brand_Comio,Brand_Coolpad,Brand_Gionee,Brand_Google,Brand_HP,Brand_HTC,Brand_Homtom,Brand_Honor,Brand_Huawei,Brand_InFocus,Brand_Infinix,Brand_Intex,Brand_Itel,Brand_Jio,Brand_Jivi,Brand_Karbonn,Brand_Kult,Brand_LG,Brand_Lava,Brand_LeEco,Brand_Lenovo,Brand_Lephone,Brand_Lyf,Brand_M-tech,Brand_Meizu,Brand_Micromax,Brand_Microsoft,Brand_Mobiistar,Brand_Motorola,Brand_Nokia,Brand_Nubia,Brand_Nuu Mobile,Brand_OnePlus,Brand_Onida,Brand_Oppo,Brand_Panasonic,Brand_Phicomm,Brand_Philips,Brand_Poco,Brand_Razer,Brand_Reach,Brand_Realme,Brand_Samsung,Brand_Sansui,Brand_Smartron,Brand_Sony,Brand_Spice,Brand_Swipe,Brand_TCL,Brand_Tambo,Brand_Tecno,Brand_Videocon,Brand_Vivo,Brand_Xiaomi,Brand_Xolo,Brand_Yu,Brand_ZTE,Brand_Zen,Brand_Ziox,Brand_Zopo,Brand_Zuk,Brand_iBall,Brand_iVoomi,Brand_mPhone
0,OnePlus 7T Pro McLaren Edition,7T Pro McLaren Edition,4085,6.67,1440,3120,8,256.0,48.0,16.0,58998,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Realme X2 Pro,X2 Pro,4000,6.5,1080,2400,8,64.0,64.0,16.0,27999,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,iPhone 11 Pro Max,iPhone 11 Pro Max,3969,6.5,1242,2688,6,64.0,12.0,12.0,106900,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,iPhone 11,iPhone 11,3110,6.1,828,1792,6,64.0,12.0,12.0,62900,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,LG G8X ThinQ,G8X ThinQ,4000,6.4,1080,2340,8,128.0,12.0,32.0,49990,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,OnePlus 7T,7T,3800,6.55,1080,2400,8,128.0,48.0,16.0,34930,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,OnePlus 7T Pro,7T Pro,4085,6.67,1440,3120,8,256.0,48.0,16.0,52990,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Samsung Galaxy Note 10+,Galaxy Note 10+,4300,6.8,1440,3040,8,256.0,12.0,10.0,79699,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Asus ROG Phone 2,ROG Phone 2,6000,6.59,1080,2340,8,128.0,48.0,24.0,37999,8.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Xiaomi Redmi K20 Pro,Redmi K20 Pro,4000,6.39,1080,2340,8,128.0,48.0,20.0,23190,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
